Rank,Name,Team,Position,Played,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FieldGoalsLongestMade,ExtraPointsMade,ExtraPointsAttempted,FantasyPointsPerGamePPR,FantasyPointsPPR
1,Greg Zuerlein,LAR,K,14,38,40,95,56,44,46,12.1,170
2,Stephen Gostkowski,NE,K,16,37,40,92.5,62,45,47,10.2,164
3,Robbie Gould,SF,K,16,39,41,95.1,52,28,30,9.6,153
3,Matt Bryant,ATL,K,16,34,39,87.2,57,35,35,9.6,153
5,Justin Tucker,BAL,K,16,34,37,91.9,57,39,39,9.4,151
6,Chris Boswell,PIT,K,16,35,38,92.1,53,37,39,9.4,150
6,Harrison Butker,KC,K,13,38,42,90.5,53,28,28,11.5,150
8,Wil Lutz,NO,K,16,31,36,86.1,53,47,50,9.3,148.4
9,Matt Prater,DET,K,16,30,35,85.7,58,40,41,9,144
10,Kai Forbath,MIN,K,16,32,38,84.2,53,34,39,8.9,142
11,Ryan Succop,TEN,K,16,35,42,83.3,52,31,33,8.8,140
12,Steven Hauschka,BUF,K,16,29,33,87.9,56,29,29,8.1,130
13,Phil Dawson,ARI,K,16,32,40,80,57,23,26,7.9,127
13,Jake Elliott,PHI,K,15,26,31,83.9,61,39,42,8.5,127
15,Graham Gano,CAR,K,16,29,30,96.7,48,34,37,7.6,121
16,Adam Vinatieri,IND,K,15,29,34,85.3,54,22,24,7.9,119
17,Chandler Catanzaro,NYJ,K,16,25,30,83.3,57,29,29,6.8,108
18,Brandon McManus,DEN,K,16,24,32,75,53,27,27,6.6,105
19,Blair Walsh,SEA,K,16,21,29,72.4,49,37,38,6.2,100
20,Ka'imi Fairbairn,HOU,K,16,20,25,80,55,32,35,6.1,98
21,Cody Parkey,MIA,K,16,21,23,91.3,54,26,29,5.7,91
22,Randy Bullock,CIN,K,15,18,20,90,51,31,33,5.8,87
22,Giorgio Tavecchio,OAK,K,16,16,21,76.2,53,33,34,5.4,87
24,Josh Lambo,JAX,K,10,19,20,95,56,22,24,8.3,83
25,Patrick Murray,TB,K,12,19,23,82.6,50,21,22,6.8,82
26,Mason Crosby,GB,K,16,15,19,78.9,50,33,35,5,80
26,Aldrick Rosas,NYG,K,16,18,25,72,52,20,23,5,80
28,Dan Bailey,DAL,K,12,15,20,75,56,26,28,6.4,77
29,Zane Gonzalez,CLE,K,16,15,20,75,54,25,26,4.6,74
30,Dustin Hopkins,WAS,K,8,14,17,82.4,49,18,19,7.5,60
31,Nick Rose,LAC,K,10,11,14,78.6,55,23,26,5.8,58
32,Connor Barth,CHI,K,10,11,16,68.8,54,17,17,5.2,52
33,Mike Nugent,CHI,K,8,11,13,84.6,55,15,17,6.2,50
34,Jason Myers,JAX,K,6,11,15,73.3,47,15,17,8,48
35,Nick Novak,LAC,K,7,9,13,69.2,50,17,18,6.6,46
36,Nick Folk,TB,K,4,6,11,54.5,50,7,9,6.8,27
37,Cairo Santos,CHI,K,5,4,5,80,39,14,14,5.2,26
37,Travis Coons,LAC,K,3,7,8,87.5,40,5,6,8.7,26
39,Younghoe Koo,LAC,K,4,3,6,50,41,9,9,4.5,18
40,Caleb Sturgis,PHI,K,1,3,3,100,50,1,2,12,12
41,Sam Ficken,LAR,K,2,2,3,66.7,23,4,5,5,10
42,Marshall Koehn,CIN,K,1,0,0,0,0,1,1,1,1
43,Michael Palardy,CAR,K,16,0,0,0,0,0,0,0,0
